FIPS,parish_name,Population,Median_Household_Income,Percent_less_18_yo,Percent_65_over,Percent_Black,Percent_American_Indian_Alaska_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Hispanic,Percent_Non_Hispanic_White,Percent_Not_Proficient_in_English,Life_Expectancy,Average_Daily_PM2_5,Weighted_RH_Ave,Weighted_IH_Ave,COVID19_Cases,COVID19_Deaths,Deaths_per_10000,Deaths_Black,Deaths_White,Deaths_Other,Cases_Black,Cases_White,Cases_Other,Black_Deaths_per_10000,White_Deaths_per_10000,Other_Deaths_per_10000,Age_Adjusted_Cancer_Incidence_Rate_cases_per_100k,Percent_Frequent_Physical_Distress,Percent_Frequent_Mental_Distress,Percent_Adults_with_Diabetes,Percent_Food_Insecure,Number_Drug_Overdose_Deaths,Drug_Overdose_Mortality_Rate,Percent_Uninsured,Average_Grade_Performance,Average_Grade_Performance_Asian,Average_Grade_Performance_Black,Average_Grade_Performance_Hispanic,Average_Grade_Performance_White,Average_Grade_Performance,Average_Grade_Performance_Asian,Average_Grade_Performance_Black,Average_Grade_Performance_Hispanic,Average_Grade_Performance_White,Percent_Enrolled_in_Free_or_Reduced_Lunch,Segregation_index_black_white,Segregation_Index_non_white_white,Percent_Female,Percent_Rural,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,High_School_Graduation_Rate,Percent_some_college,Percent_Unemployed,Percent_Children_in_Poverty,Eightyth_Percentile_Income,twentyth_Percentile_Income,Income_Ratio,Percent_Single_Parent_Households,Percent_Severe_Housing_Problems,Cancer_Alley
22041,Franklin Parish,20156,34446,25.57054971,17.88549315,31.51418932,0.307600714,0.406826751,0.059535622,1.701726533,65.11708672,0.185116624,73.9,9.3,0.470150542,0.008630469,2464,105,52.09366938,36,69,0,910,1045,195,53.62729033,51.79402492,0,498.9,16.31732941,16.74358104,14.7,20.1,,,12,2.460237151,,2.2819937,,2.640003871,2.716945368,,2.667871225,,2.772707609,56.9579288,51.83628037,52.15096399,51.6,74.18500506,25.06302442,5.243971126,5.295073546,23.51562547,38.3,6.4,36.5,38.00741561,76,37,7.126248119,41.7,78793,13637,5.777883699,49.75817373,13.43085106,0
22043,Grant Parish,22482,43502,21.10132551,15.21216974,15.22551374,1.169824749,0.51596833,0.048928031,5.217507339,76.54568099,1.404774334,75.5,9.5,0.600502617,0.009309061,2097,54,24.01921537,12,40,0,353,1274,209,32.1457273,22.79072418,0,449.5,13.9861674,14.6668508,20.5,14.6,,,9,2.745250554,,2.358237788,,2.82252644,2.831917303,,2.32534158,,2.932539488,65.3820598,79.4429798,72.31299115,44.1,85.59325833,22.48648471,4.599658298,4.800180455,22.53944226,47.4,7.3,41.4,69.50109821,84,36,5.897658283,24.4,81063,16635,4.873038774,38.15509161,10.63829787,0
22045,Iberia Parish,70941,42909,25.82709576,14.98146347,32.11260061,0.618824093,2.683920441,0.063432994,4.302166589,58.78969848,1.769557092,74.7,9.4,0.593561252,0.014681646,6712,152,21.42625562,47,104,1,2342,3291,638,20.38780202,23.41867639,1.912411551,482.8,14.81770354,15.34337375,13.3,17.1,40,18.48514257,10,2.997917575,3.140564373,2.728422664,2.638259684,3.266739946,3.061535156,3.352325052,2.757320702,2.90886155,3.326665524,63.88263733,47.1812137,40.94372186,51.1,28.13626434,22.76526933,4.850804951,5.050027141,21.2427822,41.3,6.8,28.8,62.98061169,81.3,41,5.8486679,39.3,94535,19021,4.970033121,48.3021483,14.34027115,0
22047,Iberville Parish,32721,47917,20.60756089,15.83386816,48.25952752,0.293389566,0.449252773,0.021392989,2.701628923,47.50160447,0.305918722,75.5,9.5,0.851857429,0.017307648,3741,97,29.64457076,61,35,1,1791,1629,267,38.28051459,21.54111275,12.93661061,539.8,14.25280554,14.89470575,15.2,17.4,18,18.24299672,9,2.748795254,,2.579211005,,3.116033147,2.900871129,,2.770369752,,3.190570033,50.28957529,22.51902359,21.63563073,49.4,59.21466439,21.56592166,4.583296243,4.763112132,20.99325181,38.1,7.1,21,48.51588942,86.2,45,6.187455955,32.7,100853,19737,5.109844455,54.83359746,15.54659498,1
22049,Jackson Parish,15902,40828,21.94692492,19.90944535,28.4240976,0.364733996,0.396176582,0.012577034,1.75449629,67.46950069,0.707185269,76.3,9.5,0.577895725,0.010115832,1871,50,31.44258584,22,27,1,401,732,577,46.11192622,24.76836987,39.37007874,457.8,15.25203739,15.86685313,13.4,16.8,,,10,2.589839164,,2.032554593,,2.856336458,2.635531559,,1.963056807,,2.912343564,65.22899066,42.20091634,41.04742624,48.7,65.53398058,22.27371978,4.935987805,5.080046066,21.81700724,34.2,6.5,29,23.02445619,80.7,35,4.60593654,31.5,87489,13688,6.391656926,48.04709937,15.2892562,0
22051,Jefferson Parish,434051,50871,21.99234652,17.12471576,26.81873789,0.637252305,4.208722017,0.064278161,14.85977454,52.3493783,4.749627382,77.3,8,0.534266753,0.02461944,"45,279",883,2.07348906,317,532,32,10597,25147,7342,27.18206841,19.45902449,7.066513559,483.9,13.53949771,13.83547521,14.2,12.7,480,36.65213308,12,2.774898765,3.653692998,2.592503289,2.626436467,3.068238924,2.703798956,3.635894381,2.419206848,2.641653727,3.076422048,54.45264899,52.46763572,44.89797694,51.6,1.142521593,20.21275946,4.509025988,4.598196356,18.74366959,33.4,7.9,26.8,97.75264015,71.8,59,4.372651862,25.7,106739,21911,4.871480079,43.22329689,17.85566523,1
22053,Jefferson Davis Parish,31582,44492,25.70134887,16.33525426,16.420746,0.766259262,0.452789564,0.025330885,2.472927617,77.96213033,0.14689806,73.9,9,0.537124255,0.00958186,"3,098",90,279.5896397,16,72,2,599,2055,328,30.68072867,28.63961814,17.98561151,486.2,14.17662071,15.62915563,11.5,13.9,20,21.17029384,10,2.864916064,,2.508033303,,3.000562929,2.868481245,,2.492005147,,2.949261626,45.32434709,29.80770751,29.08363458,51,50.69949991,19.51182756,4.608269208,5.140913718,21.03167682,40.8,7.8,33.2,44.68253466,92.5,46,4.715025907,23.8,99558,16283,6.114229565,37.69000748,15.9671138,0
22055,Lafayette Parish,242782,57821,23.62201481,13.20814558,26.36851167,0.37729321,1.935481214,0.056017332,4.644907777,65.35039665,1.791556457,78.5,9.4,0.555403667,0.018783907,22524,271,27.62064924,90,177,4,6469,11370,2810,14.48365761,10.5768254,3.771805752,485.9,13.49591264,14.47055027,10,14,126,17.33948931,10,2.939350053,3.558370195,2.514681467,2.731626303,3.317662656,2.908488581,3.933534963,2.489020076,2.607425096,3.288926686,45.103226,46.14042554,41.90592336,51.3,8.318515376,17.35125758,4.383010068,4.847391436,17.79862664,31.2,7.5,25.8,86.44721046,76.8,62,4.475149333,20.4,115965,21221,5.464634089,38.88722123,14.39130922,0
22057,Lafourche Parish,98115,52651,23.23090251,15.45940988,13.3720634,3.016867961,0.936655965,0.072364063,4.379554604,76.78234725,1.496859317,77.3,9.3,0.585720115,0.013307053,9404,201,134.7455923,42,159,0,1486,6782,1011,32.14941825,20.55564893,0,491.2,13.29202865,14.180348,13.4,11.9,54,18.31464561,12,3.037244751,,2.66412009,2.74376026,3.211564226,2.776257678,,2.313136451,2.431013742,2.990054548,62.32862697,54.77630734,35.95673004,51,24.21665732,18.36400413,4.37735738,4.644860999,19.22475825,39.6,7.7,32,60.42484271,94,45,4.737421083,22.8,106011,20808,5.094723183,36.22694292,11.69354839,0
22059,La Salle Parish,14917,45742,22.92015821,16.92029228,11.97291681,1.32734464,0.294965476,0.033518804,2.949654756,82.6037407,0.793707544,75.4,9.1,0.538361108,0.009870621,1464,36,1.482811741,6,30,0,166,889,309,32.34501348,23.73605507,0,470.6,14.97737347,15.84844429,18,14.4,,,12,2.899720662,,2.264692502,,2.970678019,2.919722769,,2.483513735,,2.972003308,51.01886793,52.95379967,47.09147942,48.2,73.19006044,21.66421263,4.840557462,5.042820193,22.66483009,34.4,7.5,31.8,57.01813298,96.1,42,4.388615042,24.2,89085,15153,5.879033855,38.74133949,10.2443609,0
