FIPS,parish_name,Population,Median_Household_Income,Percent_65_over,Percent_Black,Percent_Non_Hispanic_White,Weighted_RH_Ave,Weighted_IH_Ave,covid_deaths_2020,covid_deaths_per_10k_2020,covid_deaths_2021,covid_deaths_july_2020,covid_deaths_july_2020_10k,covid_deaths_per_10k_2021,Black_Deaths_per_10k_2021,White_Deaths_per_10k_2021,Other_Deaths_per_10k_2021,Age_Adjusted_Cancer_Incidence_Rate_cases_per_100k,Percent_Adults_with_Diabetes,Percent_Uninsured,Segregation_Index_black_white,Percent_Female,Percent_Rural,Percent_Fair_or_Poor_Health,Percent_Smokers,Percent_Adults_with_Obesity,twentyth_Percentile_Income,Cancer_Alley,PM_2_5_Total_Emissions,PM_2_5_per_km_2,Average_Daily_PM2_5,RSEI_score,RSEI_rank_compared_to_all_risk_screening_score,RSEI_rank_compared_to_all_hazard,RSEI_rank_compared_to_all_pouds_emitted,TRI_Facilities,Total_On_Off_site_releases_and_disposal_pounds,Total_On_Site_Air_pounds
22049,Jackson Parish,15744,40828,19.90944535,28.4240976,67.46950069,0.577895725,0.010115832,38,24.13617886,50,18,11.43292683,31.75813008,46.11192622,24.76836987,39.37007874,457.8,13.4,9.893364929,42.20091634,48.69827695,65.53398058,22.27371978,21.81700724,34.2,13688,0,649.7997177,0.432240534,9.5,6747.49,765.00,666.00,343.00,1.00,815500.00,678800.00
22051,Jefferson Parish,432493,50871,17.12471576,26.81873789,52.3493783,0.534266753,0.02461944,669,15.46845845,888,498,11.51463723,20.53212422,27.26781626,19.56875583,7.066513559,483.9,14.2,11.56476079,52.46763572,51.59140285,1.142521593,20.21275946,18.74366959,33.4,21911,1,2478.623364,1.490590018,8,144185.59,240.00,295.00,317.00,14.00,16200000.00,514400.00
22053,Jefferson Davis Parish,31368,44492,16.33525426,16.420746,77.96213033,0.537124255,0.00958186,65,20.72175465,93,14,4.463147156,29.64804897,30.68072867,29.83293556,17.98561151,486.2,11.5,10.43628014,29.80770751,51.02273447,50.69949991,19.51182756,21.03167682,40.8,16283,0,928.7642447,0.544379562,9,8.03,1861.00,1934.00,1979.00,2.00,562800.00,281.00
22055,Lafayette Parish,244390,57821,13.20814558,26.36851167,65.35039665,0.555403667,0.018783907,188,7.692622448,273,57,2.332337657,11.17066983,14.64458714,10.5768254,3.771805752,485.9,10,10.13800885,46.14042554,51.33576624,8.318515376,17.35125758,17.79862664,31.2,21221,0,1960.747166,2.811483072,9.4,78634.43,323.00,694.00,1398.00,14.00,204500.00,25500.00
22057,Lafourche Parish,97614,52651,15.45940988,13.3720634,76.78234725,0.585720115,0.013307053,162,16.59598008,203,91,9.322433258,20.79619727,32.14941825,20.68492974,,491.2,13.4,11.91894097,54.77630734,50.95245375,24.21665732,18.36400413,19.22475825,39.6,20808,0,4507.018135,1.185054999,9.3,3619.58,898.00,1067.00,1092.00,11.00,68700.00,61400.00
22059,La Salle Parish,14892,45742,16.92029228,11.97291681,82.6037407,0.538361108,0.009870621,23,15.44453398,36,1,0.671501477,24.17405318,32.34501348,23.73605507,,470.6,18,12.02888341,52.95379967,48.16652142,73.19006044,21.66421263,22.66483009,34.4,15153,0,421.6263222,0.245700247,9.1,1722.60,1098.00,646.00,1365.00,2.00,29700.00,29700.00
22061,Lincoln Parish,46742,36525,13.55199593,40.29578778,53.37316722,0.579601546,0.011790772,73,15.6176458,92,19,4.064866715,19.68251252,23.78121284,18.02225357,,408.1,10.1,9.715620501,53.06558323,51.37723536,40.6782925,23.17574085,20.97949762,35.8,13165,0,812.1089832,0.663796805,9.6,3331.95,922.00,512.00,1017.00,7.00,77900.00,77700.00
22063,Livingston Parish,140789,63088,13.19939527,6.546676507,87.40748171,0.653497652,0.015487276,125,8.878534545,203,42,2.983187607,14.4187401,22.8283071,14.55453577,,470.3,10.4,8.93927112,31.70045183,50.69751446,41.11664818,18.2048654,21.60431621,36.5,26402,0,1225.756881,0.684463637,9.7,95680.30,297.00,410.00,1271.00,4.00,44100.00,38600.00
22065,Madison Parish,10951,28452,14.38939163,62.44064152,33.76041573,0.53099054,0.010209514,18,16.43685508,38,6,5.478951694,34.70002739,20.5451308,56.45557192,,460.7,19.2,8.977162294,60.70819242,50.36287071,22.44273547,31.10476267,27.63817016,41.2,10982,0,463.7222178,0.275195279,9.6,0.75,2063.00,1920.00,1764.00,1.00,4200.00,4200.00
22067,Morehouse Parish,24874,34023,18.75344515,47.73997953,48.96448539,0.517041169,0.009110946,46,18.49320576,73,10,4.020262121,29.34791348,27.3587118,28.77809753,29.23976608,547.6,13.8,9.18211774,54.2779197,51.91747382,50.03752815,28.33177165,22.6412886,43.2,12803,0,1185.053584,0.567608939,9.8,1639.08,1114.00,768.00,1414.00,2.00,25400.00,25300.00
