FIPS,parish_name,Population,Median Household Income,Percent 65 and over,Percent Black,Respiratory Hazard (RH) Weighted Ave,First Wave of Covid Deaths per 10k,Second Wave of Covid Deaths per 10k,Third Wave of Covid Deaths per 10k,Current Covid Deaths per 10k thru 4/28/21,Percent Rural,Cancer Alley,TRI Total On Site Air Release (pounds),Poverty Rate
22081,Red River Parish,8442,36865,19.09873776,39.36534151,0.550847782,9.476427387,18.95285477,16.58374793,45.01303009,100,0,29300,23.9
22083,Richland Parish,20122,35103,17.55150555,35.37044374,0.49886185,1.987873969,6.957558891,17.89086572,26.83629858,66.04583836,0,367,25.1
22085,Sabine Parish,23884,36423,20.72237017,16.66527963,0.528573503,0.418690337,5.861664713,18.84106515,25.1214202,88.19791194,0,110200,18.4
22087,St. Bernard Parish,47244,43983,11.42954988,22.91260889,0.547282654,4.86834307,1.90500381,3.81000762,10.5833545,4.253837368,1,512400,19.2
22089,St. Charles Parish,53100,67585,13.56682237,25.98952325,0.949266563,9.22787194,2.63653484,5.461393597,17.32580038,11.48920046,1,2800000,11.1
22091,St. Helena Parish,10132,38699,19.93763399,51.93919314,0.596623477,0.98697197,2.96091591,5.92183182,9.8697197,100,0,0,19.6
22093,St. James Parish,21096,53903,17.16024148,48.84251557,0.656342967,13.74668184,5.214258627,4.740235116,23.70117558,27.70337526,1,1000000,16.6
22095,St. John the Baptist Parish,42837,50830,14.22749166,57.04195999,0.674504934,20.30954549,4.668861031,7.003291547,31.98169806,13.44612839,1,690500,16
22097,St. Landry Parish,82124,36624,16.10361993,41.28002513,0.553329597,6.940723784,9.61959963,14.24674882,30.80707223,48.17231124,0,256700,22.6
22099,St. Martin Parish,53431,46229,15.02582943,29.74953843,0.533726301,4.866088975,7.111976194,9.732177949,21.71024312,49.57055215,0,34200,18.7
22101,St. Mary Parish,49348,39764,16.55884598,31.3657733,0.53509655,7.700413391,9.929480425,9.524195509,27.15408932,13.03934126,0,700000,23.8
22103,St. Tammany Parish,260419,67054,16.92837578,12.25286795,0.55024082,6.719939789,3.68636697,9.561514329,19.96782109,23.21810559,0,5300,11.5
22105,Tangipahoa Parish,134758,47128,14.37466829,30.06421134,0.632577704,3.190905178,6.159189065,12.24417103,21.59426528,40.92917248,0,1100,21.7
22107,Tensas Parish,4334,28962,24.40609592,53.89959659,0.455752515,0,4.614674665,13.844024,18.45869866,100,0,,28.9
22109,Terrebonne Parish,110461,51665,14.39727619,18.95587321,0.518297994,5.522311042,5.79390011,8.600320475,19.91653163,20.62846415,0,31900,19
22111,Union Parish,22108,43584,20.55530676,24.84997761,0.565993024,10.85579881,12.66509861,11.30812376,34.82902117,82.91008318,0,66300,19.4
22113,Vermilion Parish,59511,48263,15.22981782,14.15677754,0.59741126,1.008216968,10.75431433,8.233771908,19.9963032,54.62163141,0,82500,17
22115,Vernon Parish,47429,47664,12.19607041,13.82726156,0.662031435,1.686731746,10.12039048,9.487866073,21.2949883,49.8968166,0,226,15.3
22117,Washington Parish,46194,36850,17.93611266,30.11034305,0.593201785,9.958003204,5.628436593,12.33926484,27.92570464,66.6744403,0,2100000,24.9
22119,Webster Parish,38340,35070,19.75875045,34.00948503,0.567155571,2.869066249,7.824726135,18.51851852,29.2123109,53.04195889,0,38700,29.6
22121,West Baton Rouge Parish,26465,58205,13.64891967,39.37639535,0.93880414,11.33572643,4.534290572,6.423578311,22.29359531,30.46073651,1,376200,14.4
22123,West Carroll Parish,10830,39332,19.03114187,15.6164633,0.437520603,4.616805171,7.386888273,25.85410896,37.8578024,100,0,,21
22125,West Feliciana Parish,15568,60296,15.02587322,44.27554981,0.521375376,8.992805755,7.065775951,5.781089414,21.83967112,100,0,571600,22.1
22127,Winn Parish,13904,40133,18.5793123,30.61412198,0.587350152,3.596087457,10.78826237,16.5420023,30.92635213,64.89257494,0,111200,23.4
